Country,"GDP(nominal,2022)"
Rwanda,"$13,312,796,765 "
Malawi,"$13,164,667,627 "
Mauritius,"$12,898,307,089 "
Bahamas,"$12,897,400,000 "
Chad,"$12,704,149,842 "
Namibia,"$12,607,436,976 "
Equatorial Guinea,"$11,813,908,448 "
Kyrgyzstan,"$10,930,644,915 "
Tajikistan,"$10,492,123,388 "
Mauritania,"$10,375,460,680 "
Togo,"$8,126,439,481 "
Maldives,"$6,189,865,408 "
Montenegro,"$6,095,978,868 "
Barbados,"$5,637,914,515 "
Fiji,"$4,943,248,200 "
Eswatini,"$4,854,167,638 "
Liberia,"$4,001,047,150 "
Sierra Leone,"$3,970,343,852 "
Suriname,"$3,620,655,116 "
Andorra,"$3,352,032,737 "
Timor-Leste,"$3,163,324,631 "
Burundi,"$3,073,414,678 "
Belize,"$2,824,081,836 "
Lesotho,"$2,553,459,763 "
Central African Republic,"$2,382,618,615 "
Cabo Verde,"$2,314,816,792 "
Gambia,"$2,273,060,863 "
Saint Lucia,"$2,065,027,556 "
Antigua and Barbuda,"$1,757,603,704 "
Guinea-Bissau,"$1,633,559,092 "
Solomon Islands,"$1,595,710,784 "
Seychelles,"$1,588,406,479 "
Grenada,"$1,256,413,185 "
Comoros,"$1,242,519,407 "
Vanuatu,"$983,582,865 "
Saint Kitts & Nevis,"$961,563,259 "
St. Vincent & Grenadines,"$948,558,503 "
Samoa,"$832,421,565 "
Dominica,"$612,048,148 "
Sao Tome & Principe,"$546,680,342 "
Micronesia,"$427,094,119 "
Marshall Islands,"$279,667,900 "
Kiribati,"$223,352,943 "
Tuvalu,"$60,349,391 "
